"Reference"	"Weight"
"faust://bibliography/fischer-lamberg1955"	10
"faust://bibliography/wa_i_15_2"	50
"faust://bibliography/bohnenkamp1994"	100
"faust://bibliography/landeck1981"	25
"faust://bibliography/hertz1932"	0
"faust://bibliography/gsa-datenbank"	1
"faust://bibliography/inventare_2_2"	1
"faust://self"	2147483647
"faust://bibliography/hertz1931"	0
"faust://bibliography/pniower1924"	1
"faust://generalknowledge"	250
"faust://bibliography/grumach1958"	1
"faust://bibliography/graef1901-1914_II_2"	1
"faust://bibliography/wa_I_14"	50
"faust://bibliography/schillemeit1987"	1
"faust://bibliography/wa_I_15_2"	50
"faust://bibliography/pniower1899"	1
"faust://bibliography/kmommsen1960"	1
"faust://bibliography/scheibe1965"	1
"faust://bibliography/grumach1953"	1
"faust://bibliography/morris1902b"	1
"faust://bibliography/schillemeit1985"	1
"faust://bibliography/pniower1892"	1
"faust://bibliography/harnack1891"	1
"faust://bibliography/bluhm1966"	1
"faust://bibliography/jensen1968"	1
"faust://bibliography/duentzer1891a"	1
"faust://bibliography/duentzer1891b"	1
"faust://bibliography/Jensen1968"	1
"faust://bibliography/wa_IV_13"	1
"faust://bibliography/morris1900"	1
"faust://bibliography/hohlfeld1955"	1
"faust://bibliography/wa_I_13_2"	1
"faust://faust://bibliography/wa_I_15_2"	1
"faust://bibliography/niejahr1894"	1
"faust://bibliography/mmommsen1953"	1
"faust://bibliography/lohmeyer1927"	1
"faust://bibliography/morris1902a"	1
"faust://bibliography/schmidt1915"	1
"faust://bibliography/frankenberger1926"	1
"faust://bibliography/duentzer1857"	1
"faust://bibliography/harnack1899"	1
"faust://bibliography/burdach1926"	1
"faust://bibliography/schillemeit1986"	1
"faust://bibliography/wa_I_53"	50
"faust://bibliography/grumach1954"	1
"faust://bibliography/scheibe1959"	1
"faust://bibliography/krogmann1933"	1
"faust://bibliography/binder1944"	1
"faust://document/scheibe1974"	1
"faust://bibliography/fischer-lamberg1959"	1
"faust://bibliography/collin1920"	1
"faust://bibliography/morris1899"	1
"faust://bibliography/scheibe1974"	1
"faust://bibliography/fischer-lamberg1957"	1
"faust://bibliography/nollendorfs1967"	1
"faust://bibliography/witkowski1894"	1
