Reference	Weight
faust://bibliography/fischer-lamberg1955	50
faust://bibliography/wa_i_15_2	25
faust://bibliography/bohnenkamp1994	250
faust://bibliography/landeck1981	5
faust://bibliography/hertz1932	0
faust://bibliography/gsa-datenbank	75
faust://bibliography/inventare_2_2	50
faust://self	10000
faust://bibliography/hertz1931	0
faust://bibliography/pniower1924	1
faust://generalknowledge	50
faust://bibliography/grumach1958	15
faust://bibliography/graef1901-1914_II_2	10
faust://bibliography/wa_I_14	25
faust://bibliography/schillemeit1987	50
faust://bibliography/wa_I_15_2	25
faust://bibliography/pniower1899	5
faust://bibliography/kmommsen1960	15
faust://bibliography/scheibe1965	50
faust://bibliography/grumach1953	5
faust://bibliography/morris1902b	1
faust://bibliography/schillemeit1985	50
faust://bibliography/pniower1892	1
faust://bibliography/harnack1891	1
faust://bibliography/bluhm1966	25
faust://bibliography/jensen1968	50
faust://bibliography/duentzer1891a	1
faust://bibliography/duentzer1891b	1
faust://bibliography/Jensen1968	50
faust://bibliography/wa_IV_13	25
faust://bibliography/morris1900	1
faust://bibliography/hohlfeld1955	10
faust://bibliography/wa_I_13_2	30
faust://faust://bibliography/wa_I_15_2	25
faust://bibliography/niejahr1894	5
faust://bibliography/mmommsen1953	25
faust://bibliography/lohmeyer1927	1
faust://bibliography/morris1902a	1
faust://bibliography/schmidt1915	15
faust://bibliography/frankenberger1926	1
faust://bibliography/duentzer1857	1
faust://bibliography/harnack1899	1
faust://bibliography/burdach1926	1
faust://bibliography/schillemeit1986	50
faust://bibliography/wa_I_53	40
faust://bibliography/grumach1954	1
faust://bibliography/scheibe1959	50
faust://bibliography/krogmann1933	1
faust://bibliography/binder1944	1
faust://document/scheibe1974	50
faust://bibliography/fischer-lamberg1959	50
faust://bibliography/collin1920	1
faust://bibliography/morris1899	1
faust://bibliography/scheibe1974	50
faust://bibliography/fischer-lamberg1957	1
faust://bibliography/nollendorfs1967	10
faust://bibliography/witkowski1894	1
faust://bibliography/bruening_hahn2017	500
